Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
11/11/2020,2372,5,83,261,650,494,343,309,192,76,47,0,1255,1104,13,434,57,317,433,134,997,0,0,0,0,0,3,1,1,0,2,3,0,1,0,1,2,1,0,1,6,3,10,16,19,11,17,0,49,34,0,14,2,40,18,2,7
5/28/2020,521,22,68,41,111,89,98,69,62,27,24,0,258,255,8,212,7,115,58,13,116,0,0,0,1,5,1,4,11,0,11,11,0,10,0,7,5,0,0,4,2,10,7,9,15,7,14,0,33,35,0,29,2,23,10,1,3
4/24/2020,1076,53,167,30,180,171,185,190,157,73,90,0,497,534,45,417,29,219,149,59,203,0,1,2,0,6,11,15,18,0,19,34,0,14,2,21,16,0,0,3,4,22,16,34,41,25,22,0,77,89,1,66,3,59,27,11,1
7/8/2020,309,4,27,37,100,69,38,32,20,11,2,0,158,150,1,88,8,72,54,13,74,0,0,0,0,0,2,1,1,0,3,1,0,2,0,1,1,0,0,2,6,3,0,2,5,5,4,0,14,13,0,10,1,8,5,1,2
3/22/2020,168,2,73,6,23,27,31,37,24,14,6,0,75,93,0,22,6,81,50,6,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,6,8,13,14,13,14,5,0,37,35,1,12,4,47,6,3,1
10/12/2020,665,4,43,66,173,116,121,91,57,31,10,0,309,350,6,199,21,88,160,44,153,0,0,0,1,1,0,2,0,0,2,2,0,3,0,1,0,0,0,0,4,3,8,8,7,8,5,0,19,24,0,11,2,12,11,0,7
5/7/2020,939,49,144,58,180,194,171,147,116,40,33,0,480,447,12,437,10,124,90,46,232,0,0,2,2,8,14,10,13,0,20,29,0,16,3,19,9,1,1,3,4,18,20,20,36,25,18,0,58,86,0,65,3,41,22,8,5
9/26/2020,229,4,22,26,65,48,32,39,11,7,1,0,103,126,0,86,6,13,68,14,42,0,0,1,0,1,1,0,1,0,1,3,0,2,0,1,1,0,0,0,3,6,1,5,1,5,1,0,16,6,0,5,1,6,8,1,1
7/25/2020,157,8,22,29,35,33,25,16,7,9,3,0,79,78,0,58,7,33,31,9,19,0,0,0,1,1,3,1,2,0,4,4,0,2,0,3,3,0,0,0,0,3,5,2,6,3,3,0,12,10,0,3,0,11,5,1,2
6/3/2020,279,21,54,23,61,47,40,44,32,18,14,0,152,126,1,109,3,66,27,18,56,0,2,0,0,0,1,9,9,0,10,11,0,9,0,8,4,0,0,1,7,5,3,4,17,9,8,0,24,30,0,13,0,29,9,0,3
8/28/2020,377,4,26,65,106,60,49,48,29,15,5,0,180,197,0,166,7,66,71,16,51,0,0,1,0,1,0,2,0,0,4,0,0,2,0,2,0,0,0,1,3,1,8,2,3,4,4,0,14,12,0,9,0,12,3,2,0
7/11/2020,155,2,20,9,69,22,22,13,12,8,0,0,79,76,0,34,3,43,35,13,27,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,8,1,2,1,3,4,1,0,8,12,0,4,1,13,2,0,0
9/17/2020,384,0,28,38,120,88,50,39,29,11,9,0,185,198,1,132,12,47,113,12,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,6,6,1,5,0,12,16,0,8,1,7,10,1,1
4/7/2020,555,24,197,2,83,106,94,84,80,54,52,0,292,256,7,164,15,198,89,27,62,0,0,0,1,5,4,9,5,0,11,13,0,6,0,16,0,2,0,0,6,14,23,34,48,33,39,0,88,105,4,41,8,102,36,10,0
4/19/2020,459,35,160,7,66,61,66,75,74,50,60,0,209,248,2,141,21,171,56,22,48,0,0,0,3,7,8,5,12,0,11,24,0,13,3,13,4,2,0,2,13,8,16,36,29,30,26,0,71,88,1,57,7,61,23,9,3
4/28/2020,1323,56,179,68,246,232,253,248,156,68,52,0,619,674,30,574,16,241,108,83,301,0,0,0,3,5,9,10,29,0,23,33,0,13,5,26,12,0,0,2,10,18,22,42,28,30,27,0,73,106,0,64,6,64,30,15,0
6/13/2020,121,18,25,13,26,19,14,22,14,7,6,0,66,55,0,46,0,22,17,8,28,0,0,0,0,3,5,5,5,0,11,7,0,3,1,6,8,0,0,1,3,1,7,2,5,1,5,0,15,10,0,10,0,9,5,1,0
11/1/2020,712,5,70,77,184,139,114,91,51,35,21,0,386,324,2,172,26,96,172,30,216,0,0,0,0,0,3,0,2,0,3,2,0,2,0,3,0,0,0,2,8,3,6,6,12,19,14,0,34,36,0,23,0,21,15,5,6
10/23/2020,997,4,67,124,246,181,174,129,88,39,15,1,533,459,5,249,21,180,241,43,263,0,0,0,0,0,0,0,4,0,3,1,0,2,0,1,1,0,0,3,7,9,4,10,17,12,5,0,35,32,0,17,1,22,20,1,6
9/21/2020,411,2,25,51,122,81,55,44,33,18,7,0,210,198,3,210,5,43,79,15,59,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,3,4,3,4,6,2,3,0,14,11,0,13,0,9,2,0,1
10/30/2020,1853,4,80,235,471,377,286,242,145,63,34,0,944,904,5,663,28,238,305,94,525,0,0,0,0,2,1,1,0,0,2,2,0,0,0,3,1,0,0,2,8,15,7,9,10,13,16,0,42,38,0,21,2,31,15,6,5
8/2/2020,95,3,21,11,20,29,10,6,12,6,1,0,44,50,1,26,2,28,23,6,10,0,0,0,2,0,0,1,0,0,0,3,0,1,0,1,1,0,0,0,3,9,2,3,2,1,1,0,10,11,0,6,0,8,4,2,1
8/6/2020,349,4,23,39,113,73,52,30,22,11,9,0,179,169,1,139,6,80,76,13,35,0,0,0,0,0,2,1,1,0,3,1,0,1,1,1,1,0,0,2,6,1,1,6,2,1,4,0,13,10,0,6,0,9,6,1,1
4/21/2020,870,36,169,20,148,164,158,151,109,56,64,0,435,430,5,358,13,208,118,37,136,0,1,0,3,0,7,11,14,0,14,22,0,12,2,18,4,0,0,1,5,10,17,33,36,33,34,0,71,98,0,55,4,71,27,10,2
9/9/2020,400,5,21,41,132,74,53,47,37,11,5,0,219,181,0,195,11,58,86,9,41,0,0,0,0,1,1,2,1,0,4,1,0,5,0,0,0,0,0,0,1,0,5,4,3,6,2,0,11,10,0,7,0,6,4,1,3
10/9/2020,652,4,40,65,166,165,97,67,52,27,13,0,320,330,2,244,11,91,176,31,99,0,0,0,1,0,1,1,1,0,0,4,0,1,0,0,2,0,1,2,5,4,6,6,6,4,7,0,20,20,0,10,1,12,12,2,3
9/2/2020,399,3,22,40,124,81,65,46,25,12,6,0,221,178,0,159,8,60,88,14,70,0,0,0,0,1,1,0,1,0,1,2,0,1,0,1,1,0,0,0,2,4,4,3,4,1,4,0,10,12,0,10,0,6,6,0,0
6/10/2020,234,11,31,10,57,46,32,36,26,18,9,0,129,101,4,99,3,45,31,7,49,0,0,1,2,2,1,4,1,0,4,7,0,4,1,6,0,0,0,0,1,4,2,8,4,6,6,0,19,12,0,7,1,16,6,1,0
3/7/2020,3,0,3,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,1,1,1,0
7/9/2020,287,7,29,27,94,58,40,34,22,7,5,0,135,151,1,83,4,87,60,9,44,0,0,0,0,1,2,4,0,0,4,3,0,3,0,2,2,0,0,0,4,3,2,10,5,3,2,0,13,16,0,7,2,15,4,0,1
7/14/2020,323,3,23,46,82,68,49,38,23,15,2,0,184,137,2,137,3,71,62,9,41,0,0,0,0,1,0,1,1,0,3,0,0,2,0,0,0,0,1,0,2,3,2,5,6,5,0,0,14,9,0,10,0,10,2,1,0
5/15/2020,973,48,110,80,186,201,168,136,102,64,36,0,539,425,9,448,11,157,84,35,238,0,0,2,1,7,14,12,12,0,15,33,0,18,0,12,16,2,0,0,14,10,17,13,18,19,19,0,61,49,0,37,2,45,20,1,5
7/24/2020,347,3,26,38,103,77,47,39,21,11,11,0,197,148,2,128,12,74,67,12,54,0,0,1,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,3,4,2,5,0,13,13,0,8,1,13,4,0,0
10/19/2020,1154,4,54,151,269,246,160,167,97,43,21,0,589,562,3,412,25,187,234,50,246,0,0,0,0,0,3,1,0,0,1,3,0,1,0,2,1,0,0,2,2,1,7,14,10,11,7,0,28,26,0,10,1,17,19,2,5
7/22/2020,364,4,36,39,124,82,56,28,21,13,1,0,187,171,6,130,9,78,96,10,41,0,0,0,0,1,0,1,2,0,1,3,0,1,0,1,2,0,0,3,3,7,6,1,6,8,2,0,20,16,0,13,1,15,5,1,1
10/31/2020,1029,10,76,132,258,210,169,127,83,39,10,1,520,506,3,298,29,134,199,58,311,0,0,1,0,2,1,5,1,0,2,8,0,4,1,2,3,0,0,2,4,5,12,12,20,14,6,1,39,37,0,16,3,32,15,3,7
5/24/2020,280,27,91,16,56,42,48,33,47,22,16,0,150,130,0,118,2,49,17,12,82,0,0,0,4,2,6,8,7,0,14,13,0,9,0,12,6,0,0,0,7,6,5,18,31,13,11,0,45,46,0,31,2,34,10,6,8
9/22/2020,332,2,32,39,101,66,48,36,20,12,10,0,165,162,5,146,8,47,69,10,52,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,4,4,4,5,8,5,2,0,14,18,0,14,0,10,5,3,0
3/28/2020,249,4,134,2,27,54,37,44,38,28,19,0,138,110,1,37,5,135,41,10,21,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,1,0,0,1,5,11,18,33,21,23,22,0,72,62,0,22,3,87,15,6,1
8/17/2020,491,3,27,69,141,84,72,63,29,23,10,0,236,250,5,259,9,75,91,14,43,0,0,0,0,1,0,1,1,0,1,2,0,0,0,2,1,0,0,0,1,2,5,7,5,6,1,0,13,14,0,8,0,14,4,1,0
9/16/2020,362,4,34,47,118,77,49,34,24,10,3,0,202,160,0,169,6,55,85,4,43,0,0,0,0,0,2,1,1,0,3,1,0,1,0,1,2,0,0,1,4,3,3,0,13,6,4,0,24,10,0,11,0,10,9,1,3
11/9/2020,3111,12,109,379,796,594,505,416,251,107,63,0,1571,1525,15,1111,61,369,578,126,866,0,0,0,0,1,3,5,3,0,5,7,0,4,0,1,6,1,0,1,2,11,12,21,23,23,16,0,61,48,0,28,3,38,22,5,13
6/5/2020,339,17,42,33,76,70,51,51,30,18,10,0,172,166,1,178,4,51,28,12,66,0,0,0,0,3,1,9,4,0,10,7,0,5,0,7,5,0,0,0,6,5,5,8,5,10,3,0,20,22,0,17,0,14,5,2,4
5/3/2020,465,45,138,10,97,78,76,81,66,30,27,0,210,246,9,197,8,114,41,22,83,0,0,0,2,4,13,13,13,0,20,25,0,20,0,16,9,0,0,2,10,17,17,27,21,23,21,0,61,77,0,58,1,41,20,14,4
10/11/2020,288,4,32,21,88,58,39,36,30,9,7,0,119,168,1,81,7,47,94,12,47,0,0,0,0,1,1,0,2,0,0,4,0,2,0,1,1,0,0,0,2,4,7,4,6,4,5,0,15,17,0,8,1,8,9,1,5
8/31/2020,405,2,31,58,119,68,59,49,29,14,9,0,214,190,1,181,3,58,78,15,70,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,0,0,0,2,5,2,5,3,4,4,6,0,15,16,0,5,1,17,4,3,1
3/13/2020,32,0,12,0,4,13,5,5,5,0,0,0,8,24,0,4,2,4,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,2,0,0,6,6,0,2,0,5,5,0,0
9/1/2020,331,3,20,33,98,70,39,45,32,8,6,0,178,153,0,129,4,55,78,7,58,0,0,0,0,0,2,1,0,0,2,1,0,2,0,0,1,0,0,0,2,3,7,2,2,2,2,0,11,9,0,7,0,9,2,1,1
6/24/2020,244,9,29,22,76,56,29,34,11,8,8,0,142,101,1,83,5,51,41,8,56,0,0,0,0,3,4,1,1,0,5,4,0,6,1,2,0,0,0,0,8,4,1,4,2,8,2,0,21,8,0,7,0,17,5,0,0
8/24/2020,529,3,28,88,127,104,91,64,30,18,7,0,274,248,7,289,9,59,91,17,64,0,0,0,0,0,0,2,1,0,0,3,0,1,0,1,1,0,0,3,3,6,2,4,4,2,4,0,10,18,0,8,2,10,6,2,0
8/21/2020,414,5,21,58,133,81,45,54,29,11,3,0,230,182,2,220,15,55,67,17,40,0,0,0,1,1,1,1,1,0,3,2,0,4,0,0,1,0,0,1,0,1,3,6,3,3,4,0,11,10,0,11,0,6,2,2,0
9/20/2020,100,6,19,13,26,26,13,9,5,7,1,0,51,49,0,29,7,13,39,2,10,0,0,0,0,0,3,1,2,0,3,3,0,3,0,1,2,0,0,0,3,2,1,6,3,3,1,0,6,13,0,6,0,8,4,1,0
8/10/2020,378,2,30,41,108,70,63,49,24,18,5,0,186,191,1,185,8,58,68,13,46,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,5,1,3,5,5,6,3,0,15,15,0,4,2,8,12,1,3
10/26/2020,1541,8,78,197,397,303,258,180,121,65,20,0,774,757,10,509,44,248,275,69,396,0,0,0,0,0,0,2,6,0,4,4,0,4,0,0,4,0,0,0,5,7,6,18,15,15,12,0,34,44,0,21,1,25,21,3,7
11/7/2020,1518,10,94,173,377,328,265,182,104,51,38,0,795,723,0,531,31,177,322,68,389,0,0,0,1,1,0,3,5,0,7,3,0,1,0,3,6,0,0,0,8,6,13,18,21,10,18,0,54,40,0,28,4,31,19,6,6
6/1/2020,236,21,63,21,51,35,34,35,17,17,26,0,136,99,1,87,8,50,36,13,42,0,0,0,1,2,4,4,10,0,12,9,0,6,1,10,3,0,1,2,4,11,6,9,7,11,13,0,28,35,0,18,1,27,11,1,5
9/10/2020,320,2,19,23,116,66,44,36,26,5,4,0,183,136,1,130,7,41,94,4,44,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,3,1,3,3,7,2,0,0,14,5,0,7,0,6,4,1,1
8/27/2020,373,2,28,39,127,74,58,32,24,10,9,0,202,168,3,176,6,59,75,18,39,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,4,3,7,2,4,5,3,0,20,8,0,10,0,7,6,3,2
5/30/2020,239,21,53,22,55,41,43,41,23,9,5,0,132,105,2,97,4,45,21,12,60,0,0,0,2,1,7,5,6,0,11,10,0,11,0,5,4,1,0,2,6,3,8,10,10,7,7,0,19,34,0,15,2,19,9,1,7
6/9/2020,254,23,36,19,49,34,46,44,38,14,10,0,114,136,4,109,3,38,36,13,55,0,0,0,2,6,5,4,6,0,7,16,0,11,0,10,2,0,0,0,1,1,7,5,6,6,10,0,15,21,0,9,0,18,7,2,0
8/25/2020,397,4,32,48,114,74,65,50,26,10,9,1,213,180,4,177,7,60,77,16,60,0,0,0,0,0,0,0,4,0,1,3,0,0,1,2,1,0,0,0,4,4,3,9,6,4,2,0,15,17,0,8,0,12,8,2,2
3/30/2020,440,12,160,6,54,79,81,82,59,43,36,0,217,223,0,85,12,210,78,17,38,0,0,1,1,2,2,5,1,0,4,8,0,3,1,6,2,0,0,0,9,9,17,33,35,33,24,0,69,91,0,27,2,101,20,9,1
4/16/2020,681,30,157,8,119,114,120,122,95,62,41,0,320,353,8,233,15,202,94,28,109,0,0,0,2,3,6,8,11,0,14,16,0,5,3,16,6,0,0,0,6,11,16,34,33,33,24,0,55,100,2,45,2,74,23,11,2
10/24/2020,867,5,60,109,211,191,143,105,57,37,14,0,454,413,0,318,16,115,188,36,194,0,0,0,0,0,0,2,3,0,2,3,0,0,0,2,3,0,0,2,7,7,6,6,11,15,6,0,30,30,0,18,0,26,10,3,3
4/30/2020,1272,40,168,57,231,223,227,186,150,95,103,0,622,626,24,537,22,213,147,47,306,0,0,3,0,4,8,11,14,0,17,23,0,13,1,18,8,0,0,1,11,15,13,34,39,26,29,0,74,92,2,59,8,55,31,10,5
7/2/2020,254,6,25,25,79,44,39,28,21,10,8,0,143,111,0,79,7,61,49,6,52,0,0,0,0,1,1,1,3,0,3,3,0,3,0,2,1,0,0,1,5,4,4,2,4,1,4,0,12,13,0,6,0,8,6,3,2
4/17/2020,773,43,149,16,130,125,143,142,118,49,50,0,382,379,12,282,23,206,114,43,105,0,0,1,2,5,7,13,15,0,14,29,0,11,2,19,11,0,0,3,6,12,19,33,31,26,19,0,67,82,0,50,7,57,18,11,6
7/20/2020,393,5,23,53,93,91,55,47,36,14,4,0,198,191,4,161,9,88,70,17,48,0,0,1,1,0,2,1,0,0,2,3,0,3,0,1,1,0,0,1,2,3,2,3,6,5,1,0,16,7,0,8,0,14,0,0,1
8/15/2020,221,5,23,18,65,41,29,34,21,11,2,0,105,114,2,76,7,51,59,6,22,0,0,0,1,0,0,2,2,0,3,2,0,0,0,3,2,0,0,1,4,2,0,6,3,5,2,0,12,11,0,7,0,10,5,1,0
8/13/2020,391,4,25,39,117,79,73,40,24,11,8,0,211,177,3,181,7,71,88,14,30,0,0,0,0,1,0,3,0,0,1,3,0,2,0,1,1,0,0,0,5,2,5,0,6,5,2,0,16,9,0,8,0,11,2,3,1
5/5/2020,1091,57,155,54,206,206,218,206,125,49,27,0,550,501,40,487,16,162,96,50,280,0,1,1,1,0,10,17,27,0,26,31,0,17,5,21,13,0,1,2,12,13,18,37,34,22,17,0,74,80,1,55,7,56,24,12,1
7/7/2020,343,4,26,36,107,69,54,45,19,8,5,0,184,158,1,98,12,91,68,12,62,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0,0,2,3,3,5,4,6,3,0,10,16,0,4,2,14,4,1,1
8/3/2020,427,3,32,55,127,87,67,46,24,14,7,0,216,209,2,217,10,69,70,17,44,0,0,0,0,0,1,1,1,0,2,1,0,1,0,1,1,0,0,1,1,2,4,10,4,7,3,0,10,21,1,10,2,13,5,2,0
5/13/2020,876,45,126,56,189,165,163,135,96,40,32,0,449,421,6,422,15,123,69,28,219,0,0,2,3,4,13,10,13,0,17,28,0,18,5,14,6,1,1,2,6,8,17,24,34,22,13,0,64,62,0,46,2,54,11,4,9
9/14/2020,424,3,20,62,103,91,66,58,27,9,8,0,221,202,1,189,9,62,86,7,71,0,0,0,0,1,0,1,1,0,1,2,0,3,0,0,0,0,0,2,3,2,3,3,3,2,2,0,8,12,0,7,0,8,5,0,0
11/21/2020,5,0,,0,1,1,1,0,1,1,0,0,4,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
7/28/2020,332,3,19,37,86,75,66,33,19,9,7,0,185,145,2,153,10,74,45,9,41,0,0,0,1,0,0,1,1,0,1,2,0,0,0,2,1,0,0,1,3,7,3,2,1,1,1,0,14,5,0,9,0,7,2,0,1
4/8/2020,704,36,173,11,86,100,107,154,129,69,48,0,320,347,37,171,21,298,103,33,78,0,0,0,1,7,8,9,11,0,13,23,0,3,2,22,9,0,0,1,1,14,16,37,41,37,26,0,64,108,1,38,5,88,30,12,0
11/12/2020,2802,13,77,328,715,555,473,357,231,110,32,1,1424,1368,10,896,49,353,527,133,844,0,0,0,0,1,4,1,7,0,8,5,0,3,1,4,5,0,0,1,4,6,7,15,20,15,9,0,43,34,0,14,1,30,18,7,7
8/18/2020,392,1,26,49,121,73,56,45,23,21,4,0,201,189,2,184,7,59,75,9,58,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,4,7,3,0,3,5,2,0,13,13,0,9,0,9,4,2,2
4/12/2020,341,33,138,28,32,56,54,60,46,34,31,0,142,182,17,91,7,116,56,21,50,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0,0,3,7,16,31,30,30,21,0,56,81,1,33,4,69,25,7,0
